0,1,2,Deg,Enh
0.003618581,0.023848154,0.20016375,0,0
0.001192232,0.002101432,0.07325046,0,0
0.062527455,0.03735442,0.01675866,0,0
0.004446144,0.88106424,0.000453835,0,0
0.002117914,0.030259926,0.7830185,0,0
0.00818049,1.31E-05,0.39556196,0,0
1.30E-07,4.42E-05,0.5955713,0,0
0.00100477,0.050720673,0.002544373,0,0
1.26E-07,2.92E-07,0.01521234,0,0
1.65E-05,0.59791356,1.38E-08,0,0
0.34656647,0.004564552,0.003923614,0,0
1.06E-11,0.000688178,0.09160514,0,0
0.000692465,0.8751289,1.34E-06,0,0
0.000676435,0.000698964,0.5910506,0,0
5.29E-09,0.000587389,0.14541762,0,0
6.83E-07,0.001194695,0.12799922,0,0
2.29E-06,0.039629873,0.23088785,0,0
0.000628333,0.9875606,0.050593648,0,0
0.002005288,0.06302035,0.00040756,0,0
0.001920728,0.26808187,0.46194285,0,0
0.000425144,1.30E-05,0.85886455,0,0
8.50E-05,0.11484211,4.12E-05,0,0
0.024242518,0.000394093,0.017741708,0,0
0.15131114,0.3514315,8.33E-07,0,0
0.000498291,0.000339102,0.19639054,0,0
1.96E-05,6.22E-06,0.14124562,0,0
0.001298019,0.035602827,0.0493522,0,0
0.01788151,0.000177393,0.93498033,0,0
3.91E-06,1.65E-05,0.20476681,0,0
0.038059615,0.024152445,1.15E-05,0,0
0.004901108,0.762859,0.016306516,0,0
0.015680075,0.003520425,0.14615618,0,0
0.21438576,0.030776538,0.00160211,0,0
0.009993298,1.63E-05,0.031772092,0,0
0.024278508,0.003527321,0.13775045,0,0
7.68E-09,0.000123501,0.25714466,0,0
1.25E-06,6.35E-05,0.088650584,0,0
0.001459908,0.013058948,0.05665324,0,0
0.009943256,0.9057488,0.001177819,0,0
0.022403736,0.19188686,0.12401851,0,0
6.38E-07,0.00041976,0.084156014,0,0
1.92E-05,0.87744266,2.67E-07,0,0
0.000117755,0.027520634,0.506,0,0
0.05377881,0.1921081,0.000269945,0,0
2.88E-05,0.78398097,2.93E-06,0,0
0.00340872,0.71247774,0.00032082,0,0
0.000285739,0.000136279,0.12577848,0,0
0.99583757,0.000946113,0.000716539,1,0
0.29825407,0.44757503,0.14624026,0,0
0.6860095,0.25926384,0.12873064,0,0
0.30035397,3.96E-06,0.33356464,0,0
0.000521567,0.05180748,0.31547418,0,0
0.13400695,0.001371193,0.3163894,0,0
0.017665643,0.6883186,8.29E-06,0,0
2.36E-05,0.006250962,0.3075309,0,0
0.00645353,0.049043447,0.067285545,0,0
9.92E-05,5.16E-07,0.010102888,0,0
0.003948177,0.018344183,0.202122,0,0
1.50E-05,0.66352564,4.77E-07,0,0
0.003271776,0.059021104,0.24839653,0,0
0.007750284,0.19225404,0.035869166,0,0
0.37590426,2.88E-05,0.40831342,0,0
0.2941425,3.34E-05,0.16162205,0,0
0.008050936,0.024618624,5.46E-06,0,0
0.005428583,2.59E-05,0.4738902,0,0
0.011599828,5.98E-05,0.030588835,0,0
0.12095022,0.011839072,0.23400874,0,0
4.54E-06,0.00012128,0.9689835,0,1
0.000502572,0.18868355,0.000134364,0,0
8.41E-06,0.84436476,1.04E-07,0,0
0.000624691,0.21625376,0.016821666,0,0
0.053865097,0.018637598,4.64E-05,0,0
0.000254792,1.52E-05,0.026663903,0,0
1.03E-05,0.000404273,0.82266074,0,0
5.20E-07,0.013747576,0.11388039,0,0
0.010098849,0.002130076,0.006073169,0,0
0.22457223,0.033885956,5.48E-07,0,0
0.00051308,2.64E-05,0.007298361,0,0
0.5552178,0.01067597,0.000363285,0,0
6.76E-06,0.86125964,1.18E-06,0,0
3.25E-08,0.001193954,0.07944871,0,0
9.32E-06,0.7470704,1.59E-07,0,0
0.003294257,0.008148649,0.013679701,0,0
0.000456017,0.04918077,0.19806167,0,0
0.001655617,4.77E-05,0.10190658,0,0
0.9070553,4.68E-05,0.18127088,0,0
3.04E-08,0.001287496,0.06959758,0,0
0.058167126,0.002144756,0.06617017,0,0
6.44E-05,0.86557025,7.10E-08,0,0
1.42E-05,8.23E-05,0.8138242,0,0
0.001154806,0.002875115,0.0774554,0,0
0.998993,0.002233815,0.01151148,1,0
3.65E-06,0.037749615,0.000127479,0,0
0.00185488,0.000194833,0.017863221,0,0
0.17759447,0.000358386,0.009677854,0,0
0.001253668,0.08544064,0.1709741,0,0
2.47E-06,0.00673325,0.111422926,0,0
0.004026838,0.5860819,0.000487466,0,0
1.73E-05,0.0115675,0.012656658,0,0
0.30967277,0.11211364,0.19327833,0,0
5.03E-07,0.011870733,0.13078825,0,0
1.21E-08,0.000185264,0.8500793,0,0
0.000583967,0.002805582,0.0410608,0,0
5.82E-08,0.000194675,0.61529845,0,0
0.001154071,0.06698243,0.002082111,0,0
5.20E-06,0.5731164,2.13E-08,0,0
7.42E-06,4.42E-06,0.25619954,0,0
4.45E-06,0.62159985,4.04E-05,0,0
0.20421475,0.11710137,0.68393236,0,0
0.08978872,0.000703355,0.003487286,0,0
0.31423724,0.072663486,0.0140457,0,0
2.32E-07,1.54E-05,0.003667577,0,0
0.0175295,0.30635023,1.60E-05,0,0
4.88E-06,0.13887908,4.75E-09,0,0
3.96E-05,5.83E-06,0.09525382,0,0
4.30E-05,0.000162091,0.12641636,0,0
9.82E-06,0.000125036,0.9016262,0,0
0.041096713,0.007111301,0.5636145,0,0
0.16858347,0.017300427,0.11365148,0,0
0.08337117,0.0991153,0.05316327,0,0
0.47253257,0.44945836,0.21177356,0,0
1.41E-05,2.81E-07,0.13862915,0,0
0.000575282,0.00434622,0.13586865,0,0
0.000963777,0.19186251,0.04622244,0,0
0.000917954,0.011477601,0.6064705,0,0
1.37E-05,0.011816193,0.13818833,0,0
0.83765614,0.019076474,0.55838436,0,0
0.1485892,0.022744672,0.28984973,0,0
7.26E-07,0.00010726,0.3567608,0,0
6.12E-12,0.7734147,3.32E-08,0,0
0.09056953,0.000579333,0.011777677,0,0
0.004718015,0.008762138,0.001904157,0,0
0.010714355,0.046561062,0.02363216,0,0
0.014839077,1.88E-07,0.2612782,0,0
5.33E-05,0.002667695,0.447232,0,0
8.01E-05,0.20915562,1.78E-06,0,0
