pMines1,p0,p1,i,j,deg,inh,degTRUE,degFALSE,,inhTRUE,inhFALSE,,Not Given,sum
3.15E-08,1.11E-09,0.99993145,DB02703,DB00341,2.16E-12,0.999931419,0,0,,0,0,,0,0
1.49E-07,2.74E-06,0.99993145,DB01182,DB01041,1.02E-11,0.999931301,0,0,,0,0,,0,0
3.74E-08,3.02E-07,0.9999305,DB01182,DB00425,2.60E-12,0.999930463,0,0,,0,0,,0,0
4.36E-06,1.64E-07,0.99993443,DB01182,DB00819,2.86E-10,0.99993007,0,0,,0,0,,0,0
1.46E-05,6.36E-06,0.99994457,DB01182,DB01002,8.09E-10,0.999929971,0,0,,0,0,,0,0
2.99E-08,2.13E-09,0.9999299,DB02703,DB01623,2.10E-12,0.99992987,0,0,,0,0,,0,0
7.54E-09,4.86E-10,0.9999294,DB02703,DB01176,5.32E-13,0.999929392,0,0,,0,0,,0,0
4.12E-09,1.89E-09,0.99992657,DB02703,DB01545,3.03E-13,0.999926566,0,0,,0,0,,0,0
1.21E-07,3.15E-09,0.9999262,DB06288,DB00915,8.93E-12,0.999926079,0,0,,0,0,,0,0
4.08E-09,6.80E-07,0.999923,DB01182,DB00401,3.14E-13,0.999922996,0,0,,0,0,,0,0
7.01E-11,9.07E-11,0.9999217,DB00450,DB00389,5.49E-15,0.9999217,0,0,,0,0,,0,0
2.64E-07,1.65E-10,0.9999213,DB02703,DB01069,2.08E-11,0.999921036,0,0,,0,0,,0,0
6.21E-08,8.54E-07,0.9999206,DB01182,DB00356,4.93E-12,0.999920538,0,0,,0,0,,0,0
2.24E-07,1.12E-06,0.99992,DB01182,DB00234,1.79E-11,0.999919776,0,0,,0,0,,0,0
6.96E-08,1.55E-08,0.9999174,DB01590,DB00389,5.75E-12,0.99991733,0,0,,0,0,,0,0
2.67E-09,3.64E-07,0.99991584,DB01182,DB00181,2.25E-13,0.999915837,0,0,,0,0,,0,0
4.40E-09,1.35E-10,0.99991536,DB02703,DB01608,3.72E-13,0.999915356,0,0,,0,0,,0,0
5.76E-09,3.35E-08,0.99991405,DB01182,DB00275,4.95E-13,0.999914044,0,0,,0,0,,0,0
2.41E-09,2.88E-09,0.9999119,DB00687,DB00389,2.12E-13,0.999911898,0,0,,0,0,,0,0
6.40E-05,8.09E-08,0.9999752,DB01182,DB00391,1.59E-09,0.999911202,0,0,,0,0,,0,0
1.01E-09,4.15E-11,0.99991095,DB02703,DB00423,8.99E-14,0.999910949,0,0,,0,0,,0,0
1.67E-05,4.68E-07,0.99992764,DB01182,DB01037,1.21E-09,0.999910941,0,0,,0,0,,0,0
3.68E-07,2.20E-06,0.999907,DB01182,DB01047,3.42E-11,0.999906632,0,0,,0,0,,0,0
5.09E-09,1.41E-08,0.99990654,DB01224,DB00389,4.76E-13,0.999906535,0,0,,0,0,,0,0
3.55E-07,2.98E-08,0.9999056,DB00819,DB00450,3.35E-11,0.999905245,0,0,,0,0,,0,0
2.00E-08,4.29E-10,0.9999049,DB02703,DB00737,1.90E-12,0.99990488,0,0,,0,0,,0,0
9.40E-09,1.31E-07,0.9999044,DB01182,DB00985,8.99E-13,0.999904391,0,0,,0,0,,0,0
1.13E-08,9.69E-10,0.9999025,DB02703,DB01071,1.10E-12,0.999902489,0,0,,0,0,,0,0
2.56E-08,6.28E-12,0.99990237,DB02703,DB00831,2.50E-12,0.999902344,0,0,,0,0,,0,0
2.68E-08,4.85E-08,0.9999018,DB01182,DB00621,2.63E-12,0.999901773,0,0,,0,0,,0,0
1.68E-07,4.53E-11,0.9998987,DB02703,DB00542,1.70E-11,0.999898532,0,0,,0,0,,0,0
1.37E-07,6.42E-07,0.9998975,DB01182,DB00526,1.40E-11,0.999897363,0,0,,0,0,,0,0
1.16E-07,2.75E-11,0.999895,DB02703,DB00633,1.22E-11,0.999894884,0,0,,0,0,,0,0
1.60E-07,7.87E-11,0.99989486,DB02703,DB01452,1.68E-11,0.9998947,0,0,,0,0,,0,0
4.71E-10,6.33E-07,0.9998945,DB01182,DB00761,4.97E-14,0.9998945,0,0,,0,0,,0,0
2.63E-08,1.84E-07,0.99989426,DB01182,DB01106,2.78E-12,0.999894234,0,0,,0,0,,0,0
3.15E-05,3.07E-08,0.99992573,DB02703,DB00391,2.34E-09,0.999894232,0,0,,0,0,,0,0
3.79E-06,9.56E-11,0.9998919,DB02703,DB01367,4.10E-10,0.99988811,0,0,,0,0,,0,0
3.45E-08,1.50E-09,0.9998871,DB02703,DB00804,3.90E-12,0.999887066,0,0,,0,0,,0,0
3.91E-09,8.04E-07,0.99988675,DB01182,DB00883,4.43E-13,0.999886746,0,0,,0,0,,0,0
1.62E-07,1.26E-07,0.99988616,DB01100,DB00687,1.84E-11,0.999885998,0,0,,0,0,,0,0
3.73E-10,1.48E-11,0.99988556,DB02703,DB01189,4.27E-14,0.99988556,0,0,,0,0,,0,0
2.27E-08,3.17E-06,0.99988496,DB01182,DB00259,2.61E-12,0.999884937,0,0,,0,0,,0,0
2.46E-06,2.68E-10,0.9998872,DB02703,DB00599,2.77E-10,0.99988474,0,0,,0,0,,0,0
8.61E-10,3.79E-12,0.99988425,DB02703,DB01143,9.97E-14,0.999884249,0,0,,0,0,,0,0
3.24E-06,5.76E-11,0.9998871,DB02703,DB00434,3.66E-10,0.99988386,0,0,,0,0,,0,0
1.18E-07,3.06E-09,0.9998826,DB01100,DB00528,1.39E-11,0.999882482,0,0,,0,0,,0,0
8.51E-10,9.26E-10,0.99988174,DB00802,DB00389,1.01E-13,0.999881739,0,0,,0,0,,0,0
3.59E-07,6.87E-07,0.9998815,DB01182,DB01021,4.25E-11,0.999881141,0,0,,0,0,,0,0
3.84E-07,2.17E-10,0.999881,DB02703,DB00819,4.57E-11,0.999880616,0,0,,0,0,,0,0
1.72E-09,3.19E-11,0.99987817,DB02703,DB00350,2.10E-13,0.999878168,0,0,,0,0,,0,0
5.86E-08,3.03E-06,0.9998764,DB01182,DB00514,7.24E-12,0.999876341,0,0,,0,0,,0,0
8.36E-08,8.89E-07,0.9998752,DB01182,DB01176,1.04E-11,0.999875116,0,0,,0,0,,0,0
6.94E-08,1.10E-09,0.99987304,DB01069,DB00915,8.81E-12,0.999872971,0,0,,0,0,,0,0
1.77E-07,4.93E-06,0.99987304,DB01182,DB00186,2.25E-11,0.999872863,0,0,,0,0,,0,0
2.32E-05,4.35E-07,0.9998956,DB01182,DB00599,2.42E-09,0.999872402,0,0,,0,0,,0,0
5.06E-08,1.40E-07,0.9998715,DB01182,DB00512,6.50E-12,0.999871449,0,0,,0,0,,0,0
1.31E-07,9.86E-07,0.9998684,DB01182,DB01114,1.72E-11,0.999868269,0,0,,0,0,,0,0
1.19E-06,2.70E-07,0.9998685,DB01182,DB00831,1.56E-10,0.99986731,0,0,,0,0,,0,0
1.10E-06,2.77E-11,0.9998672,DB02703,DB00524,1.46E-10,0.9998661,0,0,,0,0,,0,0
1.91E-09,3.16E-10,0.99986386,DB02703,DB01440,2.60E-13,0.999863858,0,0,,0,0,,0,0
2.68E-09,9.67E-12,0.99986243,DB02703,DB00512,3.69E-13,0.999862427,0,0,,0,0,,0,0
4.88E-07,1.80E-08,0.9998617,DB01100,DB00935,6.75E-11,0.999861212,0,0,,0,0,,0,0
8.59E-10,5.78E-11,0.9998591,DB02703,DB00408,1.21E-13,0.999859099,0,0,,0,0,,0,0
2.86E-07,3.71E-07,0.999859,DB01182,DB00310,4.03E-11,0.999858714,0,0,,0,0,,0,0
4.62E-12,1.87E-12,0.9998584,DB02703,DB00399,6.54E-16,0.9998584,0,0,,0,0,,0,0
6.48E-05,6.42E-06,0.999923,DB01182,DB00816,4.99E-09,0.999858205,0,0,,0,0,,0,0
2.40E-06,8.34E-06,0.9998599,DB01182,DB01005,3.36E-10,0.9998575,0,0,,0,0,,0,0
5.14E-07,3.07E-08,0.9998554,DB01239,DB01182,7.43E-11,0.999854886,0,0,,0,0,,0,0
1.38E-07,6.42E-08,0.99985456,DB01452,DB00889,2.01E-11,0.999854422,0,0,,0,0,,0,0
3.37E-05,1.07E-07,0.99988604,DB01182,DB00611,3.84E-09,0.999852344,0,0,,0,0,,0,0
1.11E-06,4.09E-10,0.99985063,DB02703,DB00727,1.66E-10,0.99984952,0,0,,0,0,,0,0
5.47E-08,2.60E-10,0.9998486,DB02703,DB01244,8.28E-12,0.999848545,0,0,,0,0,,0,0
8.13E-10,1.43E-11,0.9998466,DB02703,DB00275,1.25E-13,0.999846599,0,0,,0,0,,0,0
1.39E-08,7.50E-07,0.99984586,DB01182,DB00906,2.14E-12,0.999845846,0,0,,0,0,,0,0
5.52E-08,1.03E-08,0.99984217,DB02703,DB01041,8.71E-12,0.999842115,0,0,,0,0,,0,0
2.65E-08,2.33E-10,0.9998419,DB02703,DB00305,4.19E-12,0.999841874,0,0,,0,0,,0,0
9.23E-08,1.14E-07,0.99984133,DB01182,DB00804,1.46E-11,0.999841238,0,0,,0,0,,0,0
3.86E-08,9.78E-07,0.9998331,DB01182,DB00850,6.44E-12,0.999833061,0,0,,0,0,,0,0
4.77E-07,2.68E-08,0.99983335,DB00967,DB00915,7.95E-11,0.999832873,0,0,,0,0,,0,0
7.72E-08,1.40E-07,0.9998325,DB01236,DB00915,1.29E-11,0.999832423,0,0,,0,0,,0,0
1.83E-07,9.29E-07,0.99983084,DB01273,DB01224,3.10E-11,0.999830657,0,0,,0,0,,0,0
4.17E-05,9.59E-10,0.99987066,DB02703,DB00494,5.39E-09,0.999828965,0,0,,0,0,,0,0
5.19E-08,4.71E-09,0.99982774,DB01184,DB00528,8.94E-12,0.999827688,0,0,,0,0,,0,0
3.34E-08,4.99E-11,0.9998276,DB02703,DB00687,5.76E-12,0.999827567,0,0,,0,0,,0,0
1.63E-07,4.35E-06,0.9998275,DB01182,DB00297,2.81E-11,0.999827337,0,0,,0,0,,0,0
2.12E-09,1.17E-10,0.9998242,DB01069,DB00389,3.73E-13,0.999824198,0,0,,0,0,,0,0
9.57E-10,7.16E-10,0.99982315,DB05266,DB02703,1.69E-13,0.999823149,0,0,,0,0,,0,0
3.83E-07,4.79E-11,0.9998233,DB02703,DB00697,6.77E-11,0.999822917,0,0,,0,0,,0,0
6.20E-06,2.87E-06,0.999828,DB01182,DB01173,1.07E-09,0.999821801,0,0,,0,0,,0,0
1.16E-09,1.67E-08,0.9998209,DB01182,DB01143,2.08E-13,0.999820899,0,0,,0,0,,0,0
2.83E-08,2.00E-09,0.9998203,DB02703,DB00871,5.09E-12,0.999820272,0,0,,0,0,,0,0
1.52E-06,6.33E-06,0.9998147,DB01224,DB00687,2.82E-10,0.99981318,0,0,,0,0,,0,0
2.73E-06,7.69E-08,0.99981505,DB01182,DB00368,5.05E-10,0.999812321,0,0,,0,0,,0,0
1.05E-06,7.09E-06,0.9998072,DB01182,DB00163,2.02E-10,0.99980615,0,0,,0,0,,0,0
1.49E-07,1.15E-06,0.9998043,DB01182,DB00230,2.92E-11,0.999804151,0,0,,0,0,,0,0
1.16E-07,3.57E-07,0.999801,DB01182,DB00547,2.31E-11,0.999800884,0,0,,0,0,,0,0
7.31E-07,9.67E-09,0.99980134,DB01239,DB00524,1.45E-10,0.999800609,0,0,,0,0,,0,0
1.82E-08,3.40E-10,0.9997985,DB02703,DB00241,3.67E-12,0.999798482,0,0,,0,0,,0,0
2.79E-07,5.50E-10,0.9997873,DB02703,DB00261,5.93E-11,0.999787021,0,0,,0,0,,0,0
8.92E-08,3.68E-10,0.9997849,DB02703,DB01239,1.92E-11,0.999784811,0,0,,0,0,,0,0
2.48E-09,4.85E-09,0.9997836,DB00433,DB00389,5.37E-13,0.999783598,0,0,,0,0,,0,0
1.81E-07,5.95E-11,0.99978346,DB02703,DB00492,3.92E-11,0.999783279,0,0,,0,0,,0,0
1.29E-06,1.00E-11,0.99978405,DB02703,DB00780,2.79E-10,0.99978276,0,0,,0,0,,0,0
8.97E-07,6.71E-10,0.9997832,DB02703,DB00178,1.94E-10,0.999782303,0,0,,0,0,,0,0
4.91E-07,1.47E-08,0.9997826,DB01184,DB00413,1.07E-10,0.999782109,0,0,,0,0,,0,0
9.37E-06,8.30E-08,0.9997907,DB01100,DB00524,1.96E-09,0.999781332,0,0,,0,0,,0,0
6.56E-07,4.19E-07,0.99978083,DB01224,DB00621,1.44E-10,0.999780174,0,0,,0,0,,0,0
8.42E-08,2.14E-06,0.9997793,DB01182,DB00296,1.86E-11,0.999779216,0,0,,0,0,,0,0
8.60E-10,2.33E-08,0.99977785,DB00708,DB00389,1.91E-13,0.999777849,0,0,,0,0,,0,0
8.06E-06,4.25E-06,0.99978346,DB01182,DB00323,1.75E-09,0.999775402,0,0,,0,0,,0,0
6.75E-05,9.57E-07,0.9998418,DB01182,DB00492,1.07E-08,0.999774311,0,0,,0,0,,0,0
1.66E-06,1.48E-10,0.99977463,DB02703,DB01099,3.74E-10,0.99977297,0,0,,0,0,,0,0
2.66E-07,1.90E-08,0.9997727,DB01239,DB00819,6.05E-11,0.999772434,0,0,,0,0,,0,0
7.14E-07,8.81E-08,0.99977034,DB00961,DB00819,1.64E-10,0.999769626,0,0,,0,0,,0,0
4.48E-08,4.29E-07,0.9997695,DB01018,DB00915,1.03E-11,0.999769455,0,0,,0,0,,0,0
3.79E-06,2.05E-08,0.9997708,DB01182,DB00519,8.69E-10,0.999767011,0,0,,0,0,,0,0
1.06E-05,1.16E-07,0.9997769,DB01182,DB00780,2.36E-09,0.999766302,0,0,,0,0,,0,0
3.19E-07,4.28E-06,0.99976367,DB01182,DB00747,7.54E-11,0.999763351,0,0,,0,0,,0,0
1.13E-10,6.34E-11,0.99976,DB04844,DB02703,2.71E-14,0.99976,0,0,,0,0,,0,0
3.83E-08,5.41E-08,0.999759,DB00820,DB00450,9.23E-12,0.999758962,0,0,,0,0,,0,0
1.38E-07,2.27E-10,0.99975795,DB02703,DB01366,3.34E-11,0.999757812,0,0,,0,0,,0,0
4.85E-09,3.11E-12,0.9997558,DB02703,DB00621,1.18E-12,0.999755795,0,0,,0,0,,0,0
1.43E-08,3.68E-07,0.9997557,DB01182,DB01071,3.49E-12,0.999755686,0,0,,0,0,,0,0
5.21E-09,2.55E-10,0.99975556,DB02703,DB00958,1.27E-12,0.999755555,0,0,,0,0,,0,0
1.24E-09,3.82E-09,0.999754,DB00633,DB00389,3.05E-13,0.999753999,0,0,,0,0,,0,0
1.34E-09,6.88E-10,0.9997516,DB02703,DB01563,3.33E-13,0.999751599,0,0,,0,0,,0,0
4.79E-08,6.43E-10,0.9997501,DB02703,DB00753,1.20E-11,0.999750052,0,0,,0,0,,0,0
2.34E-08,2.93E-07,0.99974996,DB01100,DB01019,5.85E-12,0.999749937,0,0,,0,0,,0,0
5.36E-08,1.50E-06,0.99974424,DB01182,DB00402,1.37E-11,0.999744186,0,0,,0,0,,0,0
1.54E-08,3.05E-06,0.9997435,DB01182,DB01080,3.95E-12,0.999743485,0,0,,0,0,,0,0
2.60E-06,2.22E-07,0.9997452,DB00623,DB00261,6.62E-10,0.999742601,0,0,,0,0,,0,0
9.33E-11,2.09E-10,0.9997423,DB02703,DB00660,2.40E-14,0.9997423,0,0,,0,0,,0,0
6.23E-08,2.84E-10,0.99973935,DB02703,DB00292,1.62E-11,0.999739288,0,0,,0,0,,0,0
6.76E-09,4.78E-12,0.9997377,DB02703,DB00796,1.77E-12,0.999737693,0,0,,0,0,,0,0
0.000175856,4.70E-07,0.9999112,DB01367,DB01182,1.56E-08,0.99973536,0,0,,0,0,,0,0
2.31E-08,6.90E-09,0.99973494,DB02703,DB01080,6.12E-12,0.999734917,0,0,,0,0,,0,0
9.37E-05,8.13E-06,0.9998272,DB00687,DB00391,1.62E-08,0.999733516,0,0,,0,0,,0,0
4.78E-07,2.63E-07,0.99973255,DB01182,DB00371,1.28E-10,0.999732072,0,0,,0,0,,0,0
2.83E-08,2.70E-08,0.9997291,DB01184,DB00241,7.67E-12,0.999729072,0,0,,0,0,,0,0
9.31E-06,9.58E-09,0.9997335,DB01069,DB00524,2.48E-09,0.999724192,0,0,,0,0,,0,0
2.40E-06,9.36E-09,0.9997243,DB00831,DB00524,6.62E-10,0.999721901,0,0,,0,0,,0,0
1.70E-07,3.45E-08,0.99971837,DB00599,DB00389,4.79E-11,0.9997182,0,0,,0,0,,0,0
4.45E-06,5.59E-08,0.99972147,DB00935,DB00623,1.24E-09,0.999717021,0,0,,0,0,,0,0
7.56E-08,1.79E-07,0.9997156,DB01182,DB00377,2.15E-11,0.999715524,0,0,,0,0,,0,0
6.27E-07,1.07E-05,0.99971205,DB01182,DB00341,1.81E-10,0.999711423,0,0,,0,0,,0,0
5.45E-11,3.95E-09,0.99971086,DB02703,DB00761,1.58E-14,0.99971086,0,0,,0,0,,0,0
1.13E-07,3.16E-10,0.99971,DB02703,DB00371,3.28E-11,0.999709887,0,0,,0,0,,0,0
4.58E-08,2.14E-06,0.99970895,DB01182,DB00660,1.33E-11,0.999708904,0,0,,0,0,,0,0
3.92E-08,3.00E-11,0.99970883,DB02703,DB00973,1.14E-11,0.999708791,0,0,,0,0,,0,0
3.70E-07,2.86E-08,0.99970907,DB00831,DB00687,1.08E-10,0.9997087,0,0,,0,0,,0,0
0.000124665,9.38E-08,0.999833,DB01238,DB00389,2.08E-08,0.999708356,0,0,,0,0,,0,0
3.53E-10,2.09E-10,0.9997069,DB00831,DB00389,1.03E-13,0.9997069,0,0,,0,0,,0,0
8.62E-08,3.64E-08,0.99970645,DB02703,DB00747,2.53E-11,0.999706364,0,0,,0,0,,0,0
0.000115976,4.37E-06,0.9998215,DB01182,DB00273,2.07E-08,0.999705545,0,0,,0,0,,0,0
1.37E-05,7.21E-07,0.99971825,DB00967,DB00889,3.86E-09,0.999704554,0,0,,0,0,,0,0
1.29E-07,2.47E-09,0.99970454,DB02703,DB00163,3.81E-11,0.999704411,0,0,,0,0,,0,0
4.44E-07,8.46E-08,0.9997032,DB01236,DB00381,1.32E-10,0.999702756,0,0,,0,0,,0,0
4.94E-06,5.09E-06,0.99970454,DB01267,DB00687,1.46E-09,0.999699601,0,0,,0,0,,0,0
1.64E-07,5.35E-07,0.999699,DB01236,DB00862,4.94E-11,0.999698836,0,0,,0,0,,0,0
6.40E-07,4.23E-06,0.9996985,DB01608,DB01182,1.93E-10,0.99969786,0,0,,0,0,,0,0
1.86E-08,1.65E-07,0.99969506,DB01273,DB00687,5.67E-12,0.999695041,0,0,,0,0,,0,0
2.73E-07,4.87E-08,0.999694,DB00687,DB00623,8.35E-11,0.999693727,0,0,,0,0,,0,0
4.68E-08,8.96E-09,0.9996929,DB02703,DB00395,1.44E-11,0.999692853,0,0,,0,0,,0,0
8.65E-09,7.94E-08,0.99969184,DB01019,DB00802,2.67E-12,0.999691831,0,0,,0,0,,0,0
5.25E-07,7.04E-08,0.9996915,DB00915,DB00819,1.62E-10,0.999690975,0,0,,0,0,,0,0
1.72E-09,2.10E-08,0.9996891,DB01018,DB00389,5.35E-13,0.999689098,0,0,,0,0,,0,0
1.90E-05,5.60E-08,0.99970657,DB01267,DB00935,5.58E-09,0.999687576,0,0,,0,0,,0,0
8.46E-06,5.40E-07,0.9996948,DB06288,DB01182,2.58E-09,0.999686343,0,0,,0,0,,0,0
