pMines1,p0,p1,i,j,deg,enh
0.009889364,4.2766333e-05,0.9999335,DB00408,DB00178,6.57642705999697e-07,0.990044793642706
0.002020657,2.9206276e-06,0.9999926,DB00556,DB00178,1.4952861799981303e-08,0.9979719579528619
0.0038398802,1.8954277e-05,0.999752,DB00753,DB00178,9.522902896000998e-07,0.9959130720902896
0.009403735,7.480383e-06,0.9998455,DB00889,DB00178,1.4528770574994955e-06,0.9904432178770576
0.0018869936,1.9043684e-05,0.9997859,DB00906,DB00178,4.040053297599903e-07,0.9978993104053298
0.006166786,9.5665455e-05,0.9995172,DB00909,DB00178,2.9773242808000335e-06,0.9933533913242808
0.0037132502,1.8179417e-06,0.9999081,DB00985,DB00178,3.4124769338012484e-07,0.9961951910476933
0.006455034,1.1354685e-05,0.9997213,DB01196,DB00178,1.7990179757997746e-06,0.9932680650179758
0.0011230707,1.2069941e-05,0.99956477,DB01219,DB00178,4.887940607610097e-07,0.9984421880940608
0.0013941228,4.3541193e-05,0.9999565,DB04540,DB00178,6.064434179996391e-08,0.9985624378443418
0.00505057,6.735325e-06,0.99999344,DB05266,DB00178,3.313173919994342e-08,0.9949429031317393
0.0014237761,6.6548586e-05,0.9968313,DB00230,DB00180,4.511519328070034e-06,0.9954120354193281
0.000505358,4.413724e-05,0.9953768,DB00261,DB00180,2.3363711056000253e-06,0.9948737783711056
5.081296e-05,1.2606382e-05,0.9976064,DB00275,DB00180,1.2162590105599977e-07,0.997555708665901
0.0025428534,8.1032515e-05,0.99266076,DB00346,DB00180,1.8662611387415923e-05,0.9901365692113874
0.00038024783,0.00011539459,0.99936736,DB00350,DB00180,2.405599871711856e-07,0.9989873527299872
0.007103175,2.8669834e-05,0.9991432,DB00368,DB00180,6.0860003399999354e-06,0.99204611100034
0.003523469,1.1026859e-05,0.99825156,DB00381,DB00180,6.160574138359867e-06,0.9947342515741384
0.0001513958,1.7344952e-05,0.99799955,DB00399,DB00180,3.028597281100064e-07,0.997848457059728
0.00010371208,4.4703484e-07,0.99865496,DB00401,DB00180,1.3949689608320202e-07,0.998551387416896
0.00027182698,0.00022745132,0.99423754,DB00408,DB00180,1.5663920991708067e-06,0.9939672794120992
0.005502522,0.000102579594,0.9981236,DB00421,DB00180,1.0324932280800002e-05,0.9926314029322808
0.001437515,3.656745e-05,0.9965254,DB00434,DB00180,4.994789618999992e-06,0.995092879789619
0.00043731928,0.0019869208,0.99736255,DB00437,DB00180,1.153407735036018e-06,0.9969263841277349
6.258488e-05,5.9604645e-08,0.99804443,DB00450,DB00180,1.223891137816011e-07,0.9979819675091137
0.002142042,0.0001064837,0.99368393,DB00470,DB00180,1.3529287214940013e-05,0.991555417287215
0.0064201057,1.0341406e-05,0.9990715,DB00492,DB00180,5.9610681424499924e-06,0.9926573553681425
0.0005547404,0.0003437698,0.99934125,DB00512,DB00180,3.654352385000229e-07,0.9987868750352384
0.007813007,4.23193e-06,0.9987265,DB00519,DB00180,9.949864414500302e-06,0.9909234428644145
0.0061943233,1.6003847e-05,0.9999575,DB00523,DB00180,2.6325874024966156e-07,0.9937634399587403
0.00011664629,7.390976e-06,0.9992318,DB00528,DB00180,8.960767997799961e-08,0.99911524331768
0.0010299981,1.2040138e-05,0.99865896,DB00539,DB00180,1.3812686520240162e-06,0.997630343168652
0.00075498223,9.924173e-06,0.99758047,DB00543,DB00180,1.8267021549518605e-06,0.996827314472155
0.0008380711,3.874302e-07,0.99899745,DB00547,DB00180,8.40208181305039e-07,0.9981602191081812
0.0031630695,1.758337e-06,0.9995419,DB00555,DB00180,1.4490021379500532e-06,0.9963802795021379
1.6331673e-05,5.3942204e-06,0.9997608,DB00556,DB00180,3.906536181599918e-09,0.9997444722335362
0.0015942156,8.940697e-07,0.99907017,DB00575,DB00180,1.4823494913480323e-06,0.9974774367494914
0.0012215376,1.66893e-06,0.99897885,DB00591,DB00180,1.247373120240032e-06,0.9977585597731202
0.003601849,3.5762787e-07,0.9992918,DB00601,DB00180,2.5508294618001715e-06,0.9956925018294617
0.000467211,2.4437904e-06,0.9981762,DB00630,DB00180,8.520994218000196e-07,0.9977098410994217
0.00017017126,4.0233135e-06,0.9997964,DB00654,DB00180,3.4646868535994975e-08,0.9996262633868686
0.0014741421,5.340576e-05,0.9998381,DB00697,DB00180,2.386636059900709e-07,0.998364196563606
