pMines1,p0,p1,i,j,deg,enh
0.99411786,9.23574e-05,0.0040079057,DB00745,DB01048,0.9901335293624343,2.3575062434197918e-05
0.99653363,3.0517578e-05,0.004719734,DB00745,DB06698,0.9918302563443455,1.6360344345580244e-05
0.993796,0.017309636,0.0005414784,DB00822,DB01046,0.9932578809319936,3.359331993599993e-06
0.9987143,0.00076678395,9.7543e-05,DB01046,DB01083,0.9986168824110352,1.2541103509999465e-07
0.99777436,0.006189406,0.0001501143,DB01046,DB01095,0.9976245798003907,3.341003906520043e-07
0.99896574,0.00088238716,0.00060099363,DB01046,DB01377,0.9983653679536718,6.21583671763772e-07
0.9936209,0.0028549135,0.00034469366,DB01053,DB01083,0.9932784051753265,2.19883532650599e-06
0.9908096,0.0001938641,0.00080934167,DB01083,DB01217,0.9900076965036839,7.438173683968035e-06
0.9956089,8.0794096e-05,0.00088343024,DB01083,DB03783,0.9947293489905269,3.879230526863983e-06
0.9941713,2.4437904e-05,0.001740098,DB01377,DB03783,0.9924413445092126,1.0142509212600035e-05
