pMines1,p0,p1,i,j,deg,inh,degTRUE,degFALSE,degNot Given,inhTRUE,inhFALSE,inhNot Given
0.997138,0.05164647,0.000165573,DB00379,DB01377,0.996972901,4.74E-07,0,0,0,0,0,0
0.9990376,0.003793571,0.002139203,DB00745,DB01377,0.996900456,2.06E-06,0,0,0,0,0,0
0.99684,0.001364104,9.47E-07,DB00745,DB01112,0.996839056,2.99E-09,0,0,0,0,0,0
0.9969944,0.080274664,0.000156108,DB00451,DB00603,0.996838761,4.69E-07,0,0,0,0,0,0
0.9967855,0.001121105,2.71E-05,DB00745,DB05265,0.996758487,8.71E-08,0,0,0,0,0,0
0.999818,0.00745319,0.003068254,DB00277,DB00607,0.996750304,5.58E-07,0,0,0,0,0,0
0.99860674,0.002469761,0.001976303,DB00277,DB00818,0.996633191,2.75E-06,0,0,0,0,0,0
0.9989208,0.0181575,0.002294489,DB00451,DB01021,0.996628787,2.48E-06,0,0,0,0,0,0
0.9964414,0.008563519,4.28E-06,DB00451,DB00917,0.996437135,1.52E-08,0,0,0,0,0,0
0.997174,0.06341437,0.000782858,DB00177,DB01083,0.996393354,2.21E-06,0,0,0,0,0,0
0.9967558,0.06317844,0.000466411,DB00294,DB00451,0.996290902,1.51E-06,0,0,0,0,0,0
0.9962727,0.000367739,8.13E-05,DB00736,DB01267,0.996191703,3.03E-07,0,0,0,0,0,0
0.99970263,0.006629361,0.003517475,DB00651,DB00745,0.996186201,1.05E-06,0,0,0,0,0,0
0.99749494,0.005224092,0.001339696,DB01029,DB01048,0.9961586,3.36E-06,0,0,0,0,0,0
0.99686533,0.016146516,0.000737849,DB00446,DB01029,0.996129794,2.31E-06,0,0,0,0,0,0
0.99692863,0.001030497,0.00094193,DB00745,DB01127,0.995989593,2.89E-06,0,0,0,0,0,0
0.9960574,0.007558093,0.000132,DB00485,DB00745,0.99592592,5.20E-07,0,0,0,0,0,0
0.9958895,0.000777916,6.43E-07,DB00375,DB00549,0.99588886,2.64E-09,0,0,0,0,0,0
0.9965994,0.000220785,0.000821695,DB00736,DB00843,0.995780499,2.79E-06,0,0,0,0,0,0
0.9959109,0.000146737,0.000353466,DB00356,DB00736,0.995558879,1.45E-06,0,0,0,0,0,0
0.9997472,0.002531259,0.004257511,DB00745,DB00810,0.995490765,1.08E-06,0,0,0,0,0,0
0.9951125,0.000372627,9.10E-06,DB01129,DB03783,0.995103444,4.45E-08,0,0,0,0,0,0
0.99782443,0.028843572,0.002731176,DB00451,DB00524,0.995099196,5.94E-06,0,0,0,0,0,0
0.99507684,0.00326153,2.57E-05,DB00277,DB00294,0.995051267,1.27E-07,0,0,0,0,0,0
0.99950707,0.003518102,0.004517671,DB00745,DB01406,0.994991626,2.23E-06,0,0,0,0,0,0
0.9949667,0.004104081,1.96E-06,DB00717,DB01129,0.99496475,9.87E-09,0,0,0,0,0,0
0.9977272,0.001258411,0.002806883,DB00736,DB00943,0.994926696,6.38E-06,0,0,0,0,0,0
0.9995665,0.00348385,0.004946017,DB00745,DB01399,0.994622627,2.14E-06,0,0,0,0,0,0
0.9993082,0.005352877,0.004739672,DB00745,DB00998,0.994571807,3.28E-06,0,0,0,0,0,0
0.9945412,0.004236465,3.08E-05,DB00425,DB01083,0.994510568,1.68E-07,0,0,0,0,0,0
0.99663216,0.005849908,0.002161529,DB00745,DB01203,0.994477911,7.28E-06,0,0,0,0,0,0
0.99684346,0.016161922,0.002472776,DB00279,DB00549,0.994378489,7.81E-06,0,0,0,0,0,0
0.99472505,0.001409815,0.000354927,DB00736,DB00921,0.994371995,1.87E-06,0,0,0,0,0,0
0.99407214,0.000282621,1.63E-05,DB00304,DB00736,0.994055937,9.66E-08,0,0,0,0,0,0
0.99494594,0.014577325,0.000998148,DB01041,DB01129,0.993952837,5.04E-06,0,0,0,0,0,0
0.9994753,0.003565361,0.005576944,DB00649,DB00745,0.993901282,2.93E-06,0,0,0,0,0,0
0.9995921,0.003608534,0.00569837,DB00745,DB01001,0.993896054,2.32E-06,0,0,0,0,0,0
0.993909,0.048475444,4.61E-05,DB00338,DB04574,0.993863181,2.81E-07,0,0,0,0,0,0
0.9994228,0.00561097,0.005622569,DB00745,DB01165,0.993803476,3.25E-06,0,0,0,0,0,0
0.9990101,0.003209306,0.005217222,DB00277,DB01177,0.993798043,5.16E-06,0,0,0,0,0,0
0.99876666,0.00248225,0.004984095,DB00277,DB06698,0.993788712,6.15E-06,0,0,0,0,0,0
0.9994043,0.003974185,0.005623499,DB00745,DB08801,0.993784151,3.35E-06,0,0,0,0,0,0
0.9995592,0.004150087,0.005799886,DB00745,DB00811,0.993761871,2.56E-06,0,0,0,0,0,0
0.9985134,0.000361961,0.004767417,DB01129,DB01223,0.99375307,7.09E-06,0,0,0,0,0,0
0.99583817,0.020280318,0.002103239,DB00136,DB00379,0.993743684,8.75E-06,0,0,0,0,0,0
0.9999535,0.001060568,0.006811414,DB00451,DB00549,0.993142403,3.17E-07,0,0,0,0,0,0
0.996992,0.00261977,0.003903192,DB00245,DB00277,0.993100549,1.17E-05,0,0,0,0,0,0
0.99758756,0.022719381,0.004567397,DB00451,DB01590,0.993031182,1.10E-05,0,0,0,0,0,0
0.99621576,0.016574172,0.003224806,DB00277,DB00485,0.993003157,1.22E-05,0,0,0,0,0,0
0.9946079,0.000171019,0.001668403,DB00736,DB01380,0.992948493,9.00E-06,0,0,0,0,0,0
0.9930729,0.011938517,0.000143538,DB00304,DB00822,0.992930356,9.94E-07,0,0,0,0,0,0
0.99294233,0.045424324,0.000149944,DB00717,DB01171,0.992793444,1.06E-06,0,0,0,0,0,0
0.9931617,0.001627778,0.000546822,DB00492,DB00745,0.992618617,3.74E-06,0,0,0,0,0,0
0.9979347,0.000770167,0.005636959,DB00648,DB01041,0.992309383,1.16E-05,0,0,0,0,0,0
0.99808735,0.008233271,0.006070027,DB01132,DB01223,0.992028933,1.16E-05,0,0,0,0,0,0
0.9963761,0.028849289,0.004569466,DB00277,DB01377,0.991823193,1.66E-05,0,0,0,0,0,0
0.99168396,0.000122747,4.61E-07,DB00375,DB00648,0.991683503,3.83E-09,0,0,0,0,0,0
0.99870145,0.00899722,0.007099816,DB01048,DB01129,0.991610853,9.22E-06,0,0,0,0,0,0
0.9915863,0.00171153,6.42E-05,DB00736,DB00755,0.99152264,5.40E-07,0,0,0,0,0,0
0.9922908,0.000845382,0.000799547,DB00277,DB01380,0.991497417,6.16E-06,0,0,0,0,0,0
0.991295,0.000276903,8.56E-08,DB00745,DB00851,0.991294915,7.45E-10,0,0,0,0,0,0
0.99114066,0.0220146,4.00E-05,DB00455,DB01083,0.991101014,3.54E-07,0,0,0,0,0,0
0.991995,0.008001696,0.001016501,DB00297,DB01129,0.990986636,8.14E-06,0,0,0,0,0,0
0.9997695,0.000161577,0.008819409,DB00736,DB01162,0.990952124,2.03E-06,0,0,0,0,0,0
0.9911738,0.00520812,0.000348523,DB00273,DB00379,0.990828353,3.08E-06,0,0,0,0,0,0
0.99079764,0.00523741,4.50E-06,DB00277,DB00603,0.990793181,4.14E-08,0,0,0,0,0,0
0.9999944,6.06E-06,0.009437479,DB00648,DB01029,0.990556974,5.28E-08,0,0,0,0,0,0
0.999972,0.000447091,0.009639714,DB00736,DB01132,0.990332556,2.70E-07,0,0,0,0,0,0
